trt,site,yr,month,day,line,ring,count
trtpd,trtpd_2,2022,6,9,6,2,1
trtpd,trtpd_2,2022,6,9,6,3,1
trtpd,trtpd_2,2022,6,9,6,4,0
trtpd,trtpd_2,2022,6,9,6,5,0
trtpd,trtpd_2,2022,6,9,6,6,0
trtpd,trtpd_2,2022,6,9,6,7,0
trtpd,trtpd_2,2022,6,9,6,8,0
trtpd,trtpd_2,2022,6,9,6,9,0
trtpd,trtpd_2,2022,6,9,6,10,0
trtpd,trtpd_2,2022,6,9,6,11,0
trtpd,trtpd_2,2022,6,9,6,12,0
trtpd,trtpd_2,2022,6,9,6,13,0
trtpd,trtpd_2,2022,6,9,6,14,0
trtpd,trtpd_2,2022,6,9,6,15,0
trtpd,trtpd_3,2022,6,23,1,1,0
trtpd,trtpd_3,2022,6,23,1,2,0
trtpd,trtpd_3,2022,6,23,1,3,0
trtpd,trtpd_3,2022,6,23,1,4,0
trtpd,trtpd_3,2022,6,23,1,5,0
trtpd,trtpd_3,2022,6,23,1,6,0
trtpd,trtpd_3,2022,6,23,1,7,0
trtpd,trtpd_3,2022,6,23,1,8,0
trtpd,trtpd_3,2022,6,23,1,9,0
trtpd,trtpd_3,2022,6,23,1,10,1
trtpd,trtpd_3,2022,6,23,1,11,0
trtpd,trtpd_3,2022,6,23,1,12,0
trtpd,trtpd_3,2022,6,23,1,13,0
trtpd,trtpd_3,2022,6,23,1,14,1
trtpd,trtpd_3,2022,6,23,1,15,0
trtpd,trtpd_3,2022,6,23,6,1,0
trtpd,trtpd_3,2022,6,23,6,2,0
trtpd,trtpd_3,2022,6,23,6,3,0
trtpd,trtpd_3,2022,6,23,6,4,0
trtpd,trtpd_3,2022,6,23,6,5,0
trtpd,trtpd_3,2022,6,23,6,6,0
trtpd,trtpd_3,2022,6,23,6,7,0
trtpd,trtpd_3,2022,6,23,6,8,0
trtpd,trtpd_3,2022,6,23,6,9,0
trtpd,trtpd_3,2022,6,23,6,10,0
trtpd,trtpd_3,2022,6,23,6,11,NA
trtpd,trtpd_3,2022,6,23,6,12,NA
trtpd,trtpd_3,2022,6,23,6,13,0
trtpd,trtpd_3,2022,6,23,6,14,0
trtpd,trtpd_3,2022,6,23,6,15,0
untrtpd,untrtpd_1,2022,6,13,1,1,1
untrtpd,untrtpd_1,2022,6,13,1,2,1
untrtpd,untrtpd_1,2022,6,13,1,3,0
untrtpd,untrtpd_1,2022,6,13,1,4,0
untrtpd,untrtpd_1,2022,6,13,1,5,0
untrtpd,untrtpd_1,2022,6,13,1,6,0
untrtpd,untrtpd_1,2022,6,13,1,7,1
untrtpd,untrtpd_1,2022,6,13,1,8,2
untrtpd,untrtpd_1,2022,6,13,1,9,0
untrtpd,untrtpd_1,2022,6,13,1,10,2
untrtpd,untrtpd_1,2022,6,13,1,11,2
untrtpd,untrtpd_1,2022,6,13,1,12,0
untrtpd,untrtpd_1,2022,6,13,1,13,0
untrtpd,untrtpd_1,2022,6,13,1,14,0
untrtpd,untrtpd_1,2022,6,13,1,15,0
untrtpd,untrtpd_1,2022,6,13,6,1,0
untrtpd,untrtpd_1,2022,6,13,6,2,0
untrtpd,untrtpd_1,2022,6,13,6,3,2
untrtpd,untrtpd_1,2022,6,13,6,4,1
untrtpd,untrtpd_1,2022,6,13,6,5,3
untrtpd,untrtpd_1,2022,6,13,6,6,0
untrtpd,untrtpd_1,2022,6,13,6,7,2
untrtpd,untrtpd_1,2022,6,13,6,8,5
untrtpd,untrtpd_1,2022,6,13,6,9,2
untrtpd,untrtpd_1,2022,6,13,6,10,1
untrtpd,untrtpd_1,2022,6,13,6,11,1
untrtpd,untrtpd_1,2022,6,13,6,12,3
untrtpd,untrtpd_1,2022,6,13,6,13,1
untrtpd,untrtpd_1,2022,6,13,6,14,1
untrtpd,untrtpd_1,2022,6,13,6,15,0
untrtpd,untrtpd_2,2022,6,23,1,1,0
untrtpd,untrtpd_2,2022,6,23,1,2,1
untrtpd,untrtpd_2,2022,6,23,1,3,0
untrtpd,untrtpd_2,2022,6,23,1,4,0
untrtpd,untrtpd_2,2022,6,23,1,5,1
untrtpd,untrtpd_2,2022,6,23,1,6,0
untrtpd,untrtpd_2,2022,6,23,1,7,0
untrtpd,untrtpd_2,2022,6,23,1,8,0
untrtpd,untrtpd_2,2022,6,23,1,9,0
untrtpd,untrtpd_2,2022,6,23,1,10,1
untrtpd,untrtpd_2,2022,6,23,1,11,0
untrtpd,untrtpd_2,2022,6,23,1,12,0
untrtpd,untrtpd_2,2022,6,23,1,13,0
untrtpd,untrtpd_2,2022,6,23,1,14,0
untrtpd,untrtpd_2,2022,6,23,1,15,1
untrtpd,untrtpd_2,2022,6,23,6,1,0
untrtpd,untrtpd_2,2022,6,23,6,2,1
