day,mo,yr,time,time2,bison_1_tempC,bison_1_percRH,bison_2_tempC,bison_2_percRH,bison_3_tempC,bison_3_percRH,cattle_1_tempC,cattle_1_percRH,cattle_2_tempC,cattle_2_percRH,cattle_3_tempC,cattle_3_percRH,ungrazed_1_tempC,ungrazed_1_percRH,ungrazed_2_tempC,ungrazed_2_percRH,ungrazed_3_tempC,ungrazed_3_percRH,trtpd_1_tempC,trtpd_1_percRH,trtpd_2_tempC,trtpd_2_percRH,trtpd_3_tempC,trtpd_3_percRH,untrtpd_1_tempC,untrtpd_1_percRH,untrtpd_2_tempC,untrtpd_2_percRH,untrtpd_3_tempC,untrtpd_3_percRH
29,6,2022,11,11am,29.191,19.536,33.095,14.652,30.135,19.316,33.052,14.628,33.309,12.845,30.006,14.872,32.623,16.215,33.996,11.893,31.679,14.579,31.722,14.652,29.92,15.702,32.623,17.949,33.052,14.432,32.709,17.387,31.079,18.73
29,6,2022,17,5pm,12.503,56.899,9.114,65.592,7.912,76.239,18.337,35.678,14.133,45.47,17.865,35.165,14.305,49.255,16.407,38.095,13.876,49.182,15.72,41.563,13.661,50.525,13.961,51.355,8.256,64.615,14.347,46.716,13.747,49.182
29,6,2022,23,11pm,13.06,62.149,10.572,69.255,11.602,67.277,10.915,66.813,9.242,69.573,11.473,56.923,8.813,77.021,12.117,57.265,7.655,89.963,13.618,53.358,12.202,63.956,10.014,72.234,10.83,67.473,12.202,61.978,11.945,64.982
30,6,2022,5,5am,26.36,31.819,34.596,21.197,33.224,23.028,29.105,31.184,24.3,34.383,28.547,28.107,28.118,35.604,35.24,21.587,29.834,26.935,29.663,27.424,31.894,25.934,30.564,28.718,31.722,22.637,33.052,26.154,33.181,21.856
30,6,2022,11,11am,24.3,34.774,29.534,22.93,27.99,28.645,32.494,23.394,32.795,20.415,28.505,25.763,27.303,29.328,26.016,26.203,28.762,25.568,26.96,27.814,26.145,30.037,27.561,30.525,31.25,21.148,30.221,24.518,27.99,29.915
30,6,2022,17,5pm,7.869,96.215,5.424,82.295,8.384,91.282,13.446,59.585,7.869,80.073,14.905,54.212,8.256,88.352,12.674,58.877,11.773,68.938,11.216,65.495,10.229,75.311,10.872,79.805,6.282,84.737,11.645,68.352,9.242,81.441
30,6,2022,23,11pm,8.856,90.794,7.827,96.117,10.915,81.099,11.087,81.905,6.368,91.502,11.645,66.3,5.081,100,9.414,82.198,4.18,97.802,6.754,85.519,8.084,89.597,5.724,97.143,7.998,89.792,10.787,77.802,11.902,75.849
1,7,2022,5,5am,37.557,17.509,39.23,13.919,40.045,15.311,38.758,18.828,33.953,21.074,31.979,21.661,35.068,28.23,38.758,16.093,33.266,19.976,33.996,19.951,38.586,15.653,36.398,28.01,37.685,15.556,38.372,19.853,41.46,15.189
1,7,2022,11,11am,31.25,26.496,34.982,17.485,32.666,22.833,30.993,26.154,27.689,28.498,30.092,20.708,36.012,20.342,34.596,19.023,31.465,17.802,34.425,16.996,33.052,21.172,36.227,22.051,34.167,18.168,35.068,20.928,30.821,22.906
1,7,2022,17,5pm,11.13,79.365,14.648,62.002,15.549,55.873,15.849,56.581,12.245,72.454,19.109,44.2,13.79,67.179,18.637,43.81,12.975,71.258,18.166,48.987,14.09,63.834,17.308,56.923,11.602,73.7,17.994,47.399,14.948,60.293
1,7,2022,23,11pm,11.301,87.546,10.1,85.543,11.988,86.178,13.876,69.719,9.328,91.429,14.305,61.343,8.256,95.8,13.017,73.407,8.727,100,9.628,79.829,12.331,78.51,9.714,85.958,11.087,77.778,13.446,69.646,15.034,66.764
2,7,2022,5,5am,32.666,29.426,37.471,21.27,38.372,21.636,37.557,22.173,29.062,30.159,31.25,28.645,33.695,32.234,41.889,17.851,33.095,25.861,34.253,23.443,40.989,18.437,35.411,27.155,37.299,21.368,39.83,21.685,36.784,23.541
