"","site","bison_dens","cattle_dens","PD_pres","insecticide","month","Temp_past20dayMean","Temp_samplingday","soil_PC1_posOther","soil_PC2_posCN","w_C","w_N","w_Ca","w_K","w_Mg","w_Na","w_P","w_Si","f_C","f_N","f_Ca","f_K","f_Mg","f_Na","f_P","f_Si","g_C","g_N","g_Ca","g_K","g_Mg","g_Na","g_P","g_Si","grass_PC1","forb_PC1","g_per_m2_est","g_per_m2_SE","trt","ghop_m2_est","ghop_m2_SE","g_m2_woody.mean","g_m2_woody.se","perc_woody.mean","perc_woody.se","g_m2_forb.mean","g_m2_forb.se","perc_forb.mean","perc_forb.se","g_m2_grass.mean","g_m2_grass.se","perc_grass.mean","perc_grass.se"
"36","trtpd_3",0.014448,0.000000,1,1,8,25.00390,26.60625, 2.20928334,-0.24669250,NA,NA,NA,NA,NA,NA,NA,NA,41.04,3.39,14165.879,49579.297,7027.9872,4212,2528.6901, 200.19169,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4.60647987,188.1100,39.396353,"trtpd", 2.2315327, 1.5895489,  0.000000,  0.000000, 0.0000000, 0.0000000,138.00000000, 61.37181764,67.80936313,17.50775359,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"37","ungrazed_1",0.000000,0.000000,0,0,8,25.31652,24.80425, 2.30099758, 1.52381579,NA,NA,NA,NA,NA,NA,NA,NA,44.96,2.84,12912.500,18768.250,2714.9375,1378,1624.1250, 129.93750,43.89,0.91,3214.2492,10937.252, 866.1342,1383,1192.6518,1277.69968,-0.59042961, 0.49371876,244.6791,36.702589,"ungrazed", 6.0000000, 1.3333333,  0.000000,  0.000000, 0.0000000, 0.0000000, 76.60000000, 32.96907642,20.40225584, 8.90119013, 85.2000000,  7.6576759,27.405701714, 6.027997403
"38","ungrazed_1",0.000000,0.000000,0,0,9,25.28115,31.00350,-1.04853406,-0.32317999,43.71,1.60, 3287.529,15080.235,1005.6471, 4089,1179.7647,  61.11765,45.13,2.32, 3422.562,17197.125,1677.0000,1391,1735.1875,  71.87500,43.61,0.73,2279.0448, 8064.239, 546.8060,1305, 934.3881,1138.32836,-1.77646099,-0.70155539,206.2929, 8.418019,"ungrazed", 5.6666667, 3.0000003,  1.120000,  1.120000, 2.8865979, 2.8865979,  2.50000000,  2.50000000, 0.72886297, 0.72886297, 39.3000000,  8.4378315,20.591104378, 2.709140390
"39","ungrazed_1",0.000000,0.000000,0,0,6,NA,21.17950,-0.26560960,-0.66411587,NA,NA,NA,NA,NA,NA,NA,NA,41.44,2.08,14442.062,26956.438,2356.5000,1418,2204.2500,  65.25000,43.19,1.49,3669.6250,15665.125, 530.3125,1369,1812.1250,  48.00000, 1.66320862, 1.20284342,205.2827,15.489163,"ungrazed", 7.6666667, 1.3290160,  0.000000,  0.000000, 0.0000000, 0.0000000,  5.32000000,  2.41545027, 0.88665210, 0.38452992, 76.0000000, 13.4275836,17.269114733, 4.490310020
"40","ungrazed_1",0.000000,0.000000,0,0,7,20.41830,23.52800,-2.13619085,-0.57011431,NA,NA,NA,NA,NA,NA,NA,NA,38.15,2.12,14040.060,16362.269,2016.5373,1313,1407.8209, 365.79104,43.93,1.14,3212.4837,11440.327, 523.6601,1429,1346.4052,1095.88235,-0.34965854, 0.29205247,207.6398,24.580633,"ungrazed",10.3333333, 3.0000000,  0.000000,  0.000000, 0.0000000, 0.0000000, 16.10000000,  6.83447145, 3.77120297, 1.74764480, 92.0000000, 13.8924440,26.220578096, 5.511683014
"41","ungrazed_2",0.000000,0.000000,0,0,6,NA,24.81500, 2.64625201,-0.78010409,NA,NA,NA,NA,NA,NA,NA,NA,41.22,1.96, 9125.312,18420.250,3494.2500,2750,1812.8750,  42.56250,39.31,1.17,2318.6875,11872.688, 915.9375,1423,1158.8125, 102.75000, 0.63644561, 0.73377691,267.2394,23.125013,"ungrazed", 3.6666667, 1.1227361,  1.800000,  1.800000, 0.8571429, 0.8571429, 37.60000000, 11.62583330,19.97282340, 7.18106300, 51.2000000, 13.6102902,23.858349742, 4.043616544
"42","ungrazed_2",0.000000,0.000000,0,0,9,28.06048,29.69500,-0.09858409,-1.07793320,NA,NA,NA,NA,NA,NA,NA,NA,45.79,1.24, 5636.386,11154.393,3531.9003,2296, 877.9439, 463.98754,44.31,0.68,2963.1270, 5340.521, 776.6124,1416, 429.9023,1133.15961,-2.15449281,-1.38450503,251.0768,48.487819,"ungrazed", 4.6666667, 1.1480451,  0.000000,  0.000000, 0.0000000, 0.0000000, 35.88000000, 10.84344964,29.71564805,15.91265723, 55.1400000, 31.8134657,13.252922472, 4.845106208
"43","ungrazed_2",0.000000,0.000000,0,0,7,23.51091,29.62000, 1.75476701, 0.23590044,49.35,0.63, 3588.464, 2216.991, 565.7053, 1367, 478.1818, 121.63009,43.16,1.97,18519.299,14626.752,3122.3567,1484,1014.6497, 192.67516,43.90,1.04,2610.4319, 8561.860, 638.4718,1460,1021.0631, 906.04651,-0.90646884, 0.20961622,308.3193,46.467488,"ungrazed", 3.3333333, 1.1072731, 39.000000, 39.000000, 4.8567870, 4.8567870, 39.20000000, 15.34731247,15.11117517, 3.38269235, 87.2000000, 35.1004273,22.774562810, 1.753520195
"44","ungrazed_2",0.000000,0.000000,0,0,8,27.68781,29.22300, 2.75898865,-0.17594197,NA,NA,NA,NA,NA,NA,NA,NA,39.15,2.25,12263.389,22957.741,3514.8173,1555,1216.0133, 241.06312,46.32,0.69,2791.5361, 8395.549, 663.1348,1398, 633.2288,1021.50470,-1.81417523, 0.77489504,256.8010,50.171419,"ungrazed", 2.3333333, 1.0000000,  0.000000,  0.000000, 0.0000000, 0.0000000, 37.40000000, 16.40304850,11.34762159, 4.52671614, 75.0000000, 18.9129585,25.418897818, 2.279592164
"45","ungrazed_3",0.000000,0.000000,0,0,6,NA,26.19850,-1.43823453, 0.09873811,45.29,1.42, 9598.125,27298.438,1766.6250, 1395,2406.4375,  49.50000,NA,NA,NA,NA,NA,NA,NA,NA,45.63,1.46,1690.7500, 6284.812, 519.5000,1352, 931.6250,  83.93750,-0.79598373,NA,235.5876,12.480635,"ungrazed", 1.3333333, 0.6666666,  5.200000,  3.555278, 3.5441705, 2.4427440,  2.52000000,  0.90851527, 2.41792362, 1.04742607, 29.4000000,  6.1204575,22.687649474, 3.445509857
