day,mo,yr,date,DOY,site,code,meanTempC,samplinogDate,past20dayMean
17,7,2022,7/17/2022,198,bison_3,bison_3-198,33.4915,no,
18,7,2022,7/18/2022,199,bison_3,bison_3-199,24.03225,no,
19,7,2022,7/19/2022,200,bison_3,bison_3-200,24.87925,no,
20,7,2022,7/20/2022,201,bison_3,bison_3-201,26.17725,no,
21,7,2022,7/21/2022,202,bison_3,bison_3-202,25.80175,no,
22,7,2022,7/22/2022,203,bison_3,bison_3-203,26.4345,no,
23,7,2022,7/23/2022,204,bison_3,bison_3-204,23.496,no,
24,7,2022,7/24/2022,205,bison_3,bison_3-205,26.65975,no,
25,7,2022,7/25/2022,206,bison_3,bison_3-206,22.316,no,
26,7,2022,7/26/2022,207,bison_3,bison_3-207,22.6595,no,
27,7,2022,7/27/2022,208,bison_3,bison_3-208,21.03975,no,
28,7,2022,7/28/2022,209,bison_3,bison_3-209,25.05125,no,
29,7,2022,7/29/2022,210,bison_3,bison_3-210,30.2205,no,
30,7,2022,7/30/2022,211,bison_3,bison_3-211,26.68125,no,
31,7,2022,7/31/2022,212,bison_3,bison_3-212,29.0945,no,
1,8,2022,8/1/2022,213,bison_3,bison_3-213,33.92075,no,
2,8,2022,8/2/2022,214,bison_3,bison_3-214,22.18725,no,
3,8,2022,8/3/2022,215,bison_3,bison_3-215,28.1935,no,
4,8,2022,8/4/2022,216,bison_3,bison_3-216,26.4775,no,
5,8,2022,8/5/2022,217,bison_3,bison_3-217,22.316,Y,26.3471625
6,8,2022,8/6/2022,218,bison_3,bison_3-218,15.066,no,
7,8,2022,8/7/2022,219,bison_3,bison_3-219,26.885,no,
8,8,2022,8/8/2022,220,bison_3,bison_3-220,28.8475,no,
9,8,2022,8/9/2022,221,bison_3,bison_3-221,26.2095,no,
10,8,2022,8/10/2022,222,bison_3,bison_3-222,28.12925,no,
11,8,2022,8/11/2022,223,bison_3,bison_3-223,27.14225,no,
12,8,2022,8/12/2022,224,bison_3,bison_3-224,27.9575,no,
13,8,2022,8/13/2022,225,bison_3,bison_3-225,30.39225,no,
14,8,2022,8/14/2022,226,bison_3,bison_3-226,25.27625,no,
15,8,2022,8/15/2022,227,bison_3,bison_3-227,26.60625,no,
16,8,2022,8/16/2022,228,bison_3,bison_3-228,28.215,no,
17,8,2022,8/17/2022,229,bison_3,bison_3-229,25.523,no,
18,8,2022,8/18/2022,230,bison_3,bison_3-230,23.839,no,
19,8,2022,8/19/2022,231,bison_3,bison_3-231,26.47725,no,
20,8,2022,8/20/2022,232,bison_3,bison_3-232,25.51225,no,
21,8,2022,8/21/2022,233,bison_3,bison_3-233,25.49075,no,
22,8,2022,8/22/2022,234,bison_3,bison_3-234,27.357,no,
23,8,2022,8/23/2022,235,bison_3,bison_3-235,18.026,no,
24,8,2022,8/24/2022,236,bison_3,bison_3-236,21.941,no,
25,8,2022,8/25/2022,237,bison_3,bison_3-237,20.09625,no,
26,8,2022,8/26/2022,238,bison_3,bison_3-238,25.748,no,
27,8,2022,8/27/2022,239,bison_3,bison_3-239,25.255,no,
28,8,2022,8/28/2022,240,bison_3,bison_3-240,17.92975,no,
29,8,2022,8/29/2022,241,bison_3,bison_3-241,23.81775,no,
30,8,2022,8/30/2022,242,bison_3,bison_3-242,27.39975,no,
31,8,2022,8/31/2022,243,bison_3,bison_3-243,28.82625,no,
1,9,2022,9/1/2022,244,bison_3,bison_3-244,NA,Y,25.0843125
2,9,2022,9/2/2022,245,bison_3,bison_3-245,NA,no,
3,9,2022,9/3/2022,246,bison_3,bison_3-246,NA,no,
9,6,2022,6/9/2022,160,cattle_1,cattle_1-160,NA,no,
10,6,2022,6/10/2022,161,cattle_1,cattle_1-161,NA,no,
11,6,2022,6/11/2022,162,cattle_1,cattle_1-162,NA,no,
12,6,2022,6/12/2022,163,cattle_1,cattle_1-163,NA,no,
13,6,2022,6/13/2022,164,cattle_1,cattle_1-164,NA,no,
14,6,2022,6/14/2022,165,cattle_1,cattle_1-165,12.42775,no,
15,6,2022,6/15/2022,166,cattle_1,cattle_1-166,11.7735,no,
16,6,2022,6/16/2022,167,cattle_1,cattle_1-167,22.52,Y,
17,6,2022,6/17/2022,168,cattle_1,cattle_1-168,28.2365,no,
18,6,2022,6/18/2022,169,cattle_1,cattle_1-169,26.20925,no,
19,6,2022,6/19/2022,170,cattle_1,cattle_1-170,14.562,no,
20,6,2022,6/20/2022,171,cattle_1,cattle_1-171,17.018,no,
21,6,2022,6/21/2022,172,cattle_1,cattle_1-172,18.412,no,
22,6,2022,6/22/2022,173,cattle_1,cattle_1-173,24.515,no,
23,6,2022,6/23/2022,174,cattle_1,cattle_1-174,22.6485,no,
24,6,2022,6/24/2022,175,cattle_1,cattle_1-175,16.857,no,
25,6,2022,6/25/2022,176,cattle_1,cattle_1-176,15.64525,no,
26,6,2022,6/26/2022,177,cattle_1,cattle_1-177,22.3485,no,
27,6,2022,6/27/2022,178,cattle_1,cattle_1-178,26.9495,no,
28,6,2022,6/28/2022,179,cattle_1,cattle_1-179,24.665,no,
29,6,2022,6/29/2022,180,cattle_1,cattle_1-180,21.89775,no,
30,6,2022,6/30/2022,181,cattle_1,cattle_1-181,21.533,no,
1,7,2022,7/1/2022,182,cattle_1,cattle_1-182,24.869,no,
2,7,2022,7/2/2022,183,cattle_1,cattle_1-183,27.62525,no,
3,7,2022,7/3/2022,184,cattle_1,cattle_1-184,16.2995,no,
4,7,2022,7/4/2022,185,cattle_1,cattle_1-185,23.603,no,
5,7,2022,7/5/2022,186,cattle_1,cattle_1-186,18.27275,no,
6,7,2022,7/6/2022,187,cattle_1,cattle_1-187,23.82825,no,
7,7,2022,7/7/2022,188,cattle_1,cattle_1-188,24.268,no,
8,7,2022,7/8/2022,189,cattle_1,cattle_1-189,25.3085,no,
9,7,2022,7/9/2022,190,cattle_1,cattle_1-190,23.32425,no,
10,7,2022,7/10/2022,191,cattle_1,cattle_1-191,19.36675,no,
11,7,2022,7/11/2022,192,cattle_1,cattle_1-192,22.906,no,
12,7,2022,7/12/2022,193,cattle_1,cattle_1-193,27.13175,Y,22.3365375
13,7,2022,7/13/2022,194,cattle_1,cattle_1-194,28.3115,no,
14,7,2022,7/14/2022,195,cattle_1,cattle_1-195,28.15075,no,
15,7,2022,7/15/2022,196,cattle_1,cattle_1-196,25.63025,no,
16,7,2022,7/16/2022,197,cattle_1,cattle_1-197,28.6545,no,
17,7,2022,7/17/2022,198,cattle_1,cattle_1-198,32.1405,no,
18,7,2022,7/18/2022,199,cattle_1,cattle_1-199,22.75575,no,
19,7,2022,7/19/2022,200,cattle_1,cattle_1-200,23.6565,no,
20,7,2022,7/20/2022,201,cattle_1,cattle_1-201,25.86625,no,
21,7,2022,7/21/2022,202,cattle_1,cattle_1-202,27.679,no,
22,7,2022,7/22/2022,203,cattle_1,cattle_1-203,26.0055,no,
23,7,2022,7/23/2022,204,cattle_1,cattle_1-204,25.55525,no,
24,7,2022,7/24/2022,205,cattle_1,cattle_1-205,25.834,no,
25,7,2022,7/25/2022,206,cattle_1,cattle_1-206,22.2195,no,
26,7,2022,7/26/2022,207,cattle_1,cattle_1-207,22.70225,no,
27,7,2022,7/27/2022,208,cattle_1,cattle_1-208,24.03225,no,
28,7,2022,7/28/2022,209,cattle_1,cattle_1-209,28.569,no,
29,7,2022,7/29/2022,210,cattle_1,cattle_1-210,31.82925,no,
30,7,2022,7/30/2022,211,cattle_1,cattle_1-211,26.46675,no,
